Job_Title,Salary_Estimate,Rating,Company_Name,Location_,Size_,Founded,Type_of_Ownership,Industry_,Sector_,Revenue_,Competitors,Easy_Apply
Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,"Jordan & Jordan
4.9","New York, NY",1 to 50 employees,1990,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1
"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,"Roku
3.9","New York, NY",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1
"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1
"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),3.8,"Citadel
3.8","New York, NY",1001 to 5000 employees,1990,Company - Private,-1,-1,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",-1
Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Xoriant Corporation
3.7","Jersey City, NJ",1001 to 5000 employees,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",-1
Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Gemini
3.6","New York, NY",51 to 200 employees,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1
Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.
3.6","Weehawken, NJ",201 to 500 employees,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1
Data Reporting Analyst,$46K-$87K (Glassdoor est.),-1,NADAP NYS INC.,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1
Data Analyst II,$46K-$87K (Glassdoor est.),3.2,"Fragomen Worldwide
3.2","New York, NY",1001 to 5000 employees,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),-1,-1
"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",-1
Data Analyst,$46K-$87K (Glassdoor est.),3.9,"Real Capital Analytics
3.9","New York, NY",51 to 200 employees,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),-1,-1
"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,"Ro
4.8","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1
Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1
Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1
Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Kforce
4.1","New York, NY",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1
"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,"Criteo
3.9","New York, NY",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",-1
Data Analyst,$51K-$88K (Glassdoor est.),3,"Royal Communications
3.0","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1
Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Neuberger Berman
3.7","New York, NY",1001 to 5000 employees,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",-1
Data Science Analyst,$51K-$88K (Glassdoor est.),-1,Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,"Diverse Lynx
3.9","New York, NY",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1
Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1
Entry Level Data Analyst,$51K-$88K (Glassdoor est.),-1,impakt Advisors,"New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
Marketing Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Current
3.6","New York, NY",201 to 500 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,"Citi
3.7","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1
Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Axelon Services Corporation
3.6","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,"United Nations
4.1","New York, NY",10000+ employees,1945,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1
Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.
3.5","New York, NY",10000+ employees,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),-1,-1
Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Randstad
3.7","Jersey City, NJ",1001 to 5000 employees,-1,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$51K-$88K (Glassdoor est.),5,"Mulberry Technology
5.0","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data analyst with Python,$51K-$88K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1
Data Analyst,$51K-$88K (Glassdoor est.),4.8,"SoftStandard Solutions
4.8","New York, NY",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst,$51K-$88K (Glassdoor est.),5,"EDO, Inc.
5.0","New York, NY",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,"Guidepoint
3.3","New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",TRUE
BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Mitchell Martin
4.1","New York, NY",501 to 1000 employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
Data Analyst Python,$51K-$88K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1
"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),-1,Fintech Recruiters,"New York, NY",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst-BA,$51K-$88K (Glassdoor est.),1,"Sphinix Network Solutions Inc.
1.0","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1
Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1
Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,"Global Atlantic Financial Group
4.5","New York, NY",1001 to 5000 employees,2004,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,TRUE
Data Analyst,$51K-$88K (Glassdoor est.),3.4,"FINRA
3.4","New York, NY",1001 to 5000 employees,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),-1,NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,"Jefferies
3.6","New York, NY",1001 to 5000 employees,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),4.1,"RGP
4.1","New York, NY",1001 to 5000 employees,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",-1
Data Analyst,$51K-$87K (Glassdoor est.),4.4,"Tachyon Technologies
4.4","New York, NY",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Apex Systems
3.8","Jersey City, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",TRUE
Data Analyst,$51K-$87K (Glassdoor est.),3.2,"Hagerty Consulting
3.2","New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),-1,Gainful Health,"New York, NY",1 to 50 employees,-1,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,-1,-1
Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Cortex consultants LLC
3.8","New York, NY",501 to 1000 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),4.7,"Medly Pharmacy
4.7","Brooklyn, NY",201 to 500 employees,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
Healthcare Data Analyst,$51K-$87K (Glassdoor est.),2.3,"Fair Health
2.3","New York, NY",1 to 50 employees,-1,Nonprofit Organization,-1,-1,$10 to $25 million (USD),-1,-1
Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Peloton Interactive
3.8","New York, NY",1001 to 5000 employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,TRUE
Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,"ektello
4.6","New York, NY",201 to 500 employees,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1
Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3,"Premier, Inc.
3.0","New York, NY",1001 to 5000 employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1
"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),3,"Fund for Public Health
3.0","Long Island City, NY",201 to 500 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,-1
Data & Service Health Analyst,$51K-$87K (Glassdoor est.),4.2,"BlueVoyant
4.2","New York, NY",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data/Systems Analyst,$51K-$87K (Glassdoor est.),5,"Crossfire Consulting Corporation
5.0","New York, NY",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),-1,Hyde Leadership Brooklyn,"Brooklyn, NY",51 to 200 employees,-1,School / School District,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),-1,Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst Intern,$51K-$87K (Glassdoor est.),3.6,"My Job Tank
3.6","Jersey City, NJ",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,TRUE
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),3.7,"Cowen
3.7","New York, NY",501 to 1000 employees,1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Jefferies, Piper Sandler, FBR",-1
Data Reporting Analyst,$51K-$87K (Glassdoor est.),3.5,"Robert Half
3.5","New York, NY",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1
Data Analyst,$51K-$87K (Glassdoor est.),2.8,"FJA-US Inc.
2.8","New York, NY",51 to 200 employees,1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),"Ibotta, GutCheck",-1
Data Analyst,$51K-$87K (Glassdoor est.),5,"Averity
5.0","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1
ERP Data Analyst,$51K-$87K (Glassdoor est.),3.4,"Wildlife Conservation Society
3.4","New York, NY",1001 to 5000 employees,1895,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,-1
Data Analyst,$51K-$87K (Glassdoor est.),3.6,"Asembia
3.6","Florham Park, NJ",501 to 1000 employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1,-1
Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),-1,Vesta Healthcare,"New York, NY",1 to 50 employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
PBM Data Analyst,$51K-$87K (Glassdoor est.),3.2,"1199SEIU Funds
3.2","New York, NY",1001 to 5000 employees,-1,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,-1
Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),3.8,"Nutrafol
3.8","New York, NY",51 to 200 employees,-1,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$59K-$85K (Glassdoor est.),3.5,"New York Life Insurance Co
3.5","New York, NY",10000+ employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1,-1
Market Data Analyst,$59K-$85K (Glassdoor est.),3.5,"EDP World, Inc.
3.5","New York, NY",1 to 50 employees,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1
Data Analyst,$59K-$85K (Glassdoor est.),4.1,"Phyton Talent Advisors
4.1","Jersey City, NJ",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Junior Data Analyst,$59K-$85K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),3.7,"IBM
3.7","New York, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",-1
Practice Analyst Data,$59K-$85K (Glassdoor est.),4,"Northwell Health
4.0","Manhasset, NY",10000+ employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Catholic Health System, NewYork-Presbyterian Hospital",-1
Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),3.3,"Huxley
3.3","New York, NY",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1
Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),2.9,"Vericred
2.9","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),3.6,"Scotiabank
3.6","New York, NY",10000+ employees,1832,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),RBC,-1
"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),3.2,"Child Mind Institute
3.2","New York, NY",201 to 500 employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1,-1
